09.07.2020 00:00:00;DPT(Lot:433.42 Maliyet:1.171141), AAK(Lot:13.22 Maliyet:38.394733), OSD(Lot:256.62 Maliyet:1.978007), DBA(Lot:10386.62 Maliyet:0.04887), DPK(Lot:317.89 Maliyet:1.596763), IAT(Lot:13267.32 Maliyet:0.038259), AAL(Lot:845.57 Maliyet:0.600295), AIS(Lot:24683.63 Maliyet:0.020564), ICA(Lot:13134.8 Maliyet:0.038645), ICC(Lot:4386.78 Maliyet:0.11571), NAKİT(Lot:5075.94 Maliyet:1), ;10.93;10151.88
10.07.2020 00:00:00;DPT(Lot:433.42 Maliyet:1.171141), AAK(Lot:13.22 Maliyet:38.394733), OSD(Lot:256.62 Maliyet:1.978007), DPK(Lot:317.89 Maliyet:1.596763), IAT(Lot:13267.32 Maliyet:0.038259), AAL(Lot:845.57 Maliyet:0.600295), ICC(Lot:4386.78 Maliyet:0.11571), AIS(Lot:24683.63 Maliyet:0.020564), ICA(Lot:13134.8 Maliyet:0.038645), FIB(Lot:15148.9 Maliyet:0.033507), NAKİT(Lot:5075.94 Maliyet:1), ;0;10151.88
13.07.2020 00:00:00;DPT(Lot:438.39 Maliyet:1.156565), AAK(Lot:13.24 Maliyet:38.289574), AFO(Lot:5650.85 Maliyet:0.089725), ICC(Lot:4390.56 Maliyet:0.11548), OSD(Lot:256.16 Maliyet:1.979308), ICA(Lot:13175.91 Maliyet:0.038481), FIB(Lot:15195.32 Maliyet:0.033367), DPK(Lot:317.38 Maliyet:1.59751), AAL(Lot:844.18 Maliyet:0.600611), IAT(Lot:13244.06 Maliyet:0.038283), NAKİT(Lot:5070.22 Maliyet:1), ;-11.44;10140.45
14.07.2020 00:00:00;DPT(Lot:430.14 Maliyet:1.18283), AAK(Lot:13.12 Maliyet:38.76943), AFO(Lot:5632.3 Maliyet:0.090333), ICC(Lot:4380.7 Maliyet:0.116142), OSD(Lot:256.19 Maliyet:1.985963), ICA(Lot:13135.3 Maliyet:0.038734), FIB(Lot:15148.66 Maliyet:0.033586), DPK(Lot:317.95 Maliyet:1.600216), AAL(Lot:845.72 Maliyet:0.6016), IAT(Lot:13265.44 Maliyet:0.038354), NAKİT(Lot:5087.83 Maliyet:1), ;35.21;10175.66
15.07.2020 00:00:00;DPT(Lot:430.14 Maliyet:1.18283), AAK(Lot:13.12 Maliyet:38.76943), AFO(Lot:5632.3 Maliyet:0.090333), ICC(Lot:4380.7 Maliyet:0.116142), OSD(Lot:256.19 Maliyet:1.985963), ICA(Lot:13135.3 Maliyet:0.038734), FIB(Lot:15148.66 Maliyet:0.033586), DPK(Lot:317.95 Maliyet:1.600216), AAL(Lot:845.72 Maliyet:0.6016), IAT(Lot:13265.44 Maliyet:0.038354), NAKİT(Lot:5087.83 Maliyet:1), ;0;10175.66
16.07.2020 00:00:00;DPT(Lot:423.76 Maliyet:1.199689), AAK(Lot:13.19 Maliyet:38.54983), AFO(Lot:5666.72 Maliyet:0.089714), ICC(Lot:4373.65 Maliyet:0.116238), OSD(Lot:256.59 Maliyet:1.981284), ICA(Lot:13214.73 Maliyet:0.038471), FIB(Lot:15237.96 Maliyet:0.033363), DPK(Lot:318.01 Maliyet:1.598665), AAL(Lot:845.82 Maliyet:0.601051), IAT(Lot:13262.65 Maliyet:0.038332), NAKİT(Lot:5083.84 Maliyet:1), ;-7.98;10167.68
17.07.2020 00:00:00;AAK(Lot:26.38 Maliyet:38.54983), AFO(Lot:11333.44 Maliyet:0.089714), FIB(Lot:30475.91 Maliyet:0.033363), ICA(Lot:13214.73 Maliyet:0.038471), NAKİT(Lot:6608.99 Maliyet:1), ;0;10167.68
20.07.2020 00:00:00;AAK(Lot:52.55 Maliyet:38.733486), AAL(Lot:845.95 Maliyet:0.601491), AFO(Lot:22650.3 Maliyet:0.089859), AIS(Lot:42141.15 Maliyet:0.020616), DBA(Lot:11715.26 Maliyet:0.056142), DPK(Lot:316.8 Maliyet:1.606186), FIB(Lot:60903.47 Maliyet:0.033419), IAT(Lot:13268.49 Maliyet:0.038349), ICA(Lot:13205.82 Maliyet:0.038531), OSD(Lot:256.56 Maliyet:1.983261), ;8.99;10176.67
21.07.2020 00:00:00;AAK(Lot:52.19 Maliyet:38.76943), AAL(Lot:840.86 Maliyet:0.6016), AFO(Lot:5599.97 Maliyet:0.090333), AIS(Lot:98149.45 Maliyet:0.020616), DBA(Lot:10327.09 Maliyet:0.048984), DPK(Lot:316.12 Maliyet:1.600216), FIB(Lot:15061.7 Maliyet:0.033586), IAT(Lot:52757.19 Maliyet:0.038354), ICA(Lot:13059.9 Maliyet:0.038734), OSD(Lot:509.44 Maliyet:1.985963), ;-59.42;10117.25
22.07.2020 00:00:00;AAK(Lot:13.09 Maliyet:38.818157), AAL(Lot:3376.71 Maliyet:0.601706), AIS(Lot:98601.64 Maliyet:0.020606), APT(Lot:10145.33 Maliyet:0.050067), DBA(Lot:10169.5 Maliyet:0.049948), DPK(Lot:809.78 Maliyet:1.600521), GA1(Lot:1.31 Maliyet:388.3845), IAT(Lot:45670.54 Maliyet:0.038353), ICC(Lot:4371.8 Maliyet:0.116187), OSD(Lot:255.52 Maliyet:1.987914), ;41.68;10158.93
23.07.2020 00:00:00;AAK(Lot:13.05 Maliyet:38.950764), AAL(Lot:3379.01 Maliyet:0.601827), AIS(Lot:98650.42 Maliyet:0.020614), APT(Lot:20315.08 Maliyet:0.050051), DBA(Lot:10089.8 Maliyet:0.050387), DPT(Lot:428.16 Maliyet:1.187404), DZT(Lot:603.67 Maliyet:0.842177), GA1(Lot:1.31 Maliyet:388.34348), IAT(Lot:53004.74 Maliyet:0.038366), ICC(Lot:4369.76 Maliyet:0.116344), ;8.97;10167.9
