Tarih;Sepet İçeriği;Toplam Bakiye
2019-03-18;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.96  ,  ;9600.0
2019-03-19;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.98  ,  ;9605.274435470581
2019-03-20;AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU(540) : 0.21772  ,  İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU(551) : 0.31235  ,  ZİRAAT PORTFÖY İKİNCİ DEĞİŞKEN FON(1019) : 0.46994  ,  ;9610.655798383106
2019-03-21;AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU(540) : 0.4  ,  İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU(551) : 0.27  ,  ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON(915) : 0.07  ,  ZİRAAT PORTFÖY İKİNCİ DEĞİŞKEN FON(1019) : 0.26  ,  ;9600.550622901987
2019-03-22;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.96  ,  ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON(915) : 0.03  ,  ;9628.812576574004
2019-03-25;ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON(514) : 0.20512  ,  GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON(614) : 0.75567  ,  QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON(639) : 0.03921  ,  ;9642.978565839763
2019-03-26;GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON(614) : 0.83  ,  QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON(639) : 0.08  ,  QNB FINANS PORTFÖY EUROBOND BORÇLANMA ARAÇLARI FONU(644) : 0.03  ,  ALBARAKA PORTFÖY KATILIM FONU(895) : 0.06  ,  ;9628.791069754423
2019-03-27;AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU(540) : 0.0958  ,  İŞ PORTFÖY TEMA DEĞİŞKEN FON(948) : 0.9042  ,  ;9548.765203935502
2019-03-28;AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU(540) : 0.44605  ,  QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON(639) : 0.03294  ,  İŞ PORTFÖY TEMA DEĞİŞKEN FON(948) : 0.52101  ,  ;9338.180147305275
2019-03-29;FİBA PORTFÖY DEĞİŞKEN FON(630) : 0.13741  ,  İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU(803) : 0.11371  ,  İŞ PORTFÖY TEMA DEĞİŞKEN FON(948) : 0.63482  ,  İŞ PORTFÖY ALTIN FONU(963) : 0.11406  ,  ;9250.278661970591
2019-04-01;AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU(540) : 0.05  ,  FİBA PORTFÖY DEĞİŞKEN FON(630) : 0.11  ,  QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON(639) : 0.04  ,  İŞ PORTFÖY TEMA DEĞİŞKEN FON(948) : 0.81  ,  ;9297.502276829435
2019-04-02;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.92  ,  TACİRLER PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(953) : 0.06  ,  ;9373.943291340827
2019-04-03;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.64  ,  TACİRLER PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(953) : 0.34  ,  ;9378.734917728709
2019-04-04;AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU(540) : 0.03  ,  DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.93  ,  ;9383.794349041927
2019-04-05;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.94  ,  TACİRLER PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(953) : 0.03  ,  ;9388.151006319513
2019-04-08;İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU(551) : 0.18325  ,  HSBC PORTFÖY DEĞİŞKEN FON(740) : 0.50417  ,  TACİRLER PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(953) : 0.25003  ,  ZİRAAT PORTFÖY İKİNCİ DEĞİŞKEN FON(1019) : 0.06254  ,  ;9402.89679614981
2019-04-09;İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU(551) : 0.15819  ,  HSBC PORTFÖY DEĞİŞKEN FON(740) : 0.28798  ,  ZİRAAT PORTFÖY İKİNCİ DEĞİŞKEN FON(1019) : 0.55383  ,  ;9395.799393964548
2019-04-10;AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU(540) : 0.36193  ,  İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU(551) : 0.12783  ,  GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON(705) : 0.10138  ,  ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON(915) : 0.24587  ,  TACİRLER PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(953) : 0.16299  ,  ;9419.66110379936
