Tarih;Sepet İçeriği;Toplam Bakiye
2019-03-18;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.77  ,  TACİRLER PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU(920) : 0.19  ,  ;9600.0
2019-03-19;QNB FINANS PORTFÖY BORÇLANMA ARAÇLARI FONU(633) : 1.0  ,  ;9605.521999535189
2019-03-20;AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU(533) : 0.04  ,  FİBA PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON(625) : 0.07  ,  TACİRLER PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU(920) : 0.87  ,  ;9607.63743206276
2019-03-21;AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU(533) : 0.38  ,  FİBA PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON(625) : 0.26  ,  OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(866) : 0.03  ,  TACİRLER PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU(920) : 0.2  ,  YAPI KREDİ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU(1006) : 0.09  ,  ;9612.99954270857
2019-03-22;AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU(533) : 0.42  ,  FİBA PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON(625) : 0.18  ,  OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(866) : 0.18  ,  ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON(913) : 0.2  ,  ;9625.8166272825
2019-03-25;AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU(533) : 0.27  ,  FİBA PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON(625) : 0.07  ,  TEB PORTFÖY İKİNCİ DEĞİŞKEN FON(772) : 0.07  ,  OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(866) : 0.39  ,  ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON(913) : 0.2  ,  ;9635.130059789666
2019-03-26;AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU(533) : 0.21  ,  DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.26  ,  FİBA PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON(625) : 0.08  ,  KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU(816) : 0.04  ,  OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(866) : 0.41  ,  ;9637.578506251028
2019-03-27;QNB FINANS PORTFÖY BORÇLANMA ARAÇLARI FONU(633) : 0.92429  ,  TEB PORTFÖY BORÇLANMA ARAÇLARI FONU(917) : 0.07571  ,  ;9638.328507403272
2019-03-28;QNB FINANS PORTFÖY BORÇLANMA ARAÇLARI FONU(633) : 0.79537  ,  TEB PORTFÖY BORÇLANMA ARAÇLARI FONU(917) : 0.20463  ,  ;9531.547014647978
2019-03-29;QNB FINANS PORTFÖY BORÇLANMA ARAÇLARI FONU(633) : 0.29807  ,  GARANTİ PORTFÖY BİRİNCİ KATILIM FONU(700) : 0.59798  ,  TEB PORTFÖY BORÇLANMA ARAÇLARI FONU(917) : 0.10395  ,  ;9431.996029481115
