Tarih;Sepet İçeriği;Toplam Bakiye
2019-03-18;OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU(856) : 0.16072  ,  ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON(914) : 0.83928  ,  ;10000.000000000002
2019-03-19;ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(525) : 0.11  ,  ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON(914) : 0.88  ,  ;10005.419948359604
2019-03-20;ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(525) : 0.66  ,  GLOBAL MD PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU(616) : 0.12  ,  YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU(996) : 0.04  ,  ACTUS PORTFÖY BORÇLANMA ARAÇLARI FONU(508) : 0.18  ,  ;10011.359335477708
2019-03-21;MÜKAFAT PORTFÖY KİRA SERTİFİKASI KATILIM FONU(840) : 0.1471  ,  ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON(914) : 0.14454  ,  TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON(929) : 0.08429  ,  ACTUS PORTFÖY BORÇLANMA ARAÇLARI FONU(508) : 0.62408  ,  ;10016.142945552576
2019-03-22;ACTUS PORTFÖY BORÇLANMA ARAÇLARI FONU(508) : 1.0  ,  ;10021.800731732767
2019-03-25;AK PORTFÖY DEĞİŞKEN FON(512) : 0.28  ,  OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU(856) : 0.39  ,  ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON(914) : 0.32  ,  ;10035.950975880629
2019-03-26;OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU(856) : 0.32638  ,  ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON(914) : 0.67362  ,  ;10042.40781204734
2019-03-27;ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(525) : 0.43  ,  DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU(579) : 0.21  ,  GLOBAL MD PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU(616) : 0.04  ,  FİBA PORTFÖY BORÇLANMA ARAÇLARI FONU(632) : 0.05  ,  YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU(996) : 0.26  ,  ;10049.286977697842
2019-03-28;HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON(737) : 0.43694  ,  MÜKAFAT PORTFÖY KİRA SERTİFİKASI KATILIM FONU(840) : 0.03899  ,  TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON(929) : 0.41867  ,  YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU(996) : 0.1054  ,  ;10047.64649811623
2019-03-29;HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON(737) : 0.69381  ,  TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON(929) : 0.30619  ,  ;10085.361902348484
