Tarih;Sepet İçeriği;Toplam Bakiye
2019-03-18;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.98  ,  ;9800.0
2019-03-19;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;9805.384319542884
2019-03-20;GARANTİ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(686) : 0.22571  ,  İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON(505) : 0.77429  ,  ;9810.875506188317
2019-03-21;İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON(505) : 1.0  ,  ;9727.203004627103
2019-03-22;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.99  ,  ;9717.132309147282
2019-03-25;MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )(843) : 0.90735  ,  ÜNLÜ PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)(977) : 0.09265  ,  ;9732.329677568336
2019-03-26;MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )(843) : 1.0  ,  ;9634.13895476997
2019-03-27;AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(692) : 0.27082  ,  ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)(765) : 0.21511  ,  MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )(843) : 0.31423  ,  TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(969) : 0.19984  ,  ;9551.836857531485
2019-03-28;ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)(765) : 0.46064  ,  MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )(843) : 0.53936  ,  ;9109.762578614731
2019-03-29;MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )(843) : 0.08517  ,  İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(934) : 0.87146  ,  ÜNLÜ PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)(977) : 0.04336  ,  ;9246.317983431247
2019-04-01;MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )(843) : 0.29548  ,  İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(934) : 0.32991  ,  ÜNLÜ PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)(977) : 0.37461  ,  ;9407.912938546351
2019-04-02;İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON(797) : 0.80645  ,  İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON(505) : 0.19355  ,  ;9438.98418572764
2019-04-03;İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON(797) : 0.39809  ,  İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON(505) : 0.60191  ,  ;9459.71831533243
2019-04-04;AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(539) : 0.93349  ,  ÜNLÜ PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)(977) : 0.06651  ,  ;9600.150467633304
2019-04-05;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;10014.766743794013
2019-04-08;GARANTİ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(686) : 0.94815  ,  OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(853) : 0.05185  ,  ;10030.011476194513
2019-04-09;GARANTİ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(686) : 0.93387  ,  OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(853) : 0.06613  ,  ;9897.307102936378
2019-04-10;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.99  ,  ;10006.451639113824
2019-04-11;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.99  ,  ;10011.290611578932
2019-04-12;ZİRAAT PORTFÖY ALTIN KATILIM FONU(919) : 0.13099  ,  İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON(505) : 0.86901  ,  ;10016.127219981927
2019-04-15;MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )(843) : 1.0  ,  ;10012.790789323923
2019-04-16;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.99  ,  ;10058.87900790276
2019-04-17;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.99  ,  ;10063.70383055939
2019-04-18;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 1.0  ,  ;10065.847151624557
2019-04-19;GARANTİ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(686) : 0.69817  ,  OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(853) : 0.25047  ,  İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON(505) : 0.05136  ,  ;10071.258407035812
2019-04-22;DENİZ PORTFÖY KISALI VADELİ BORÇLANMA ARAÇLARI FONU(577) : 0.98  ,  ;10089.557377264895
2019-04-24;AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(539) : 1.0  ,  ;10099.097669314651
2019-04-25;AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(539) : 0.77177  ,  HSBC PORTFÖY ALTIN FONU(719) : 0.22823  ,  ;10115.709738681686
2019-04-26;AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)(539) : 1.0  ,  ;9997.497837439761
